weekNumber,weeklyAvg
1,9422.366834151495
2,9127.338484599479
3,9175.578423511184
4,9244.687784734164
5,9217.464122316014
6,10192.243767275559
7,11296.921205726407
8,11639.427137973757
9,11861.925301731611
10,11607.960794050636
11,11568.398850691985
12,10321.947486506537
13,10522.769608459435
14,10760.621647936243
15,10697.198547879427
16,10628.516637485058
17,11241.476433213527
18,11653.699739852285
19,13111.655326207572
20,13615.01922497447
21,15264.434818095144
22,16506.887050796322
23,18444.796165269672
24,18120.92730181665
25,18950.919976351757
26,18940.171991454703
27,23120.564801637705
28,25905.676908035286
29,31405.445829764223
30,37106.80484873943
31,36507.0174562949
32,32152.684671535008
33,34125.01513295914
34,40985.06578448585
35,48124.47029615751
36,52785.031887435005
37,47819.58403823064
38,50717.23485881662
39,57330.03948357391
40,56797.36003514508
41,55577.702288030436
42,58227.7578104518
43,59978.66053803203
44,58418.78855466172
45,51849.079538983955
46,56079.92451871045
47,56758.35547080631
48,45739.505016141935
49,37666.63237779875
50,36552.20247641792
51,35818.908867072096
52,38120.6377334373
